Ring-necked Pheasant,RNPH
Ringed Kingfisher,RIKI
Ringed Storm-Petrel,RSPE
River Warbler,RIWA
Rivoli's Hummingbird,MAHU
Roadside Hawk,ROHA
Rock Pigeon,ROPI
Rock Ptarmigan,ROPT
Rock Sandpiper,ROSA
Rock Wren,ARWR
Rose-breasted Grosbeak,RBGR
Rose-ringed Parakeet,RNPA
Rose-throated Becard,RTBE
Roseate Spoonbill,ROSP
Roseate Tern,ROTE
Ross's Goose,ROGO
Ross's Gull,ROGU
Rosy-faced Lovebird,RFLO
Rough-legged Hawk,RLBU
Royal Tern,ROTE
Ruby-crowned Kinglet,RCKI
Ruby-throated Hummingbird,RTHU
Ruddy Duck,RUDU
Ruddy Ground Dove,RUGD
Ruddy Quail-Dove,RQDO
Ruddy Turnstone,RUTU
Ruff,RUFF
Ruffed Grouse,RUGR
Rufous Hummingbird,RUHU
Rufous-backed Robin,RBTH
Rufous-capped Warbler,RCWA
Rufous-crowned Sparrow,RCSP
Rufous-necked Wood-Rail,RNWR
Rufous-tailed Robin,RTRO
Rufous-tailed Rock-Thrush,CRTH
Rufous-winged Sparrow,RWSP
Rustic Bunting,RUBU
Rusty Blackbird,RUBL
Sabine's Gull,SAGU
Saffron Finch,SAFI
Sage Thrasher,SATH
Sagebrush Sparrow,SASP
Saltmarsh Sparrow,SASP
Salvin's Albatross,SAMO
Sanderling,SAND
Sandhill Crane,SACR
Sandwich Tern,SATE
Savannah Sparrow,SASP
Say's Phoebe,SAPH
Scaled Quail,SCQU
Scaly-breasted Munia,SBMU
Scaly-naped Pigeon,SNPI
Scarlet Ibis,SCIB
Scarlet Tanager,SCTA
Scissor-tailed Flycatcher,STFL
Scott's Oriole,SCOR
Scripps's Murrelet,SCMU
Seaside Sparrow,SESP
Sedge Warbler,SEWA
Sedge Wren,SEWR
Semipalmated Plover,SEPL
Semipalmated Sandpiper,SESA
Sharp-shinned Hawk,SSBB
Sharp-tailed Grouse,STGR
Sharp-tailed Sandpiper,STSA
Shiny Cowbird,SHCO
Short-billed Dowitcher,SBDO
Short-billed Gull,MEGU
Short-eared Owl,SEOW
Short-tailed Albatross,STAL
Short-tailed Hawk,STHA
Short-tailed Shearwater,STSH
Siberian Accentor,SIAC
Siberian Blue Robin,SBRO
Siberian Rubythroat,SIRU
Siberian Stonechat,COST
